Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity
5067,424.00,286.00,5.0990,5.8310,8.0623,6.3307,197.84,109.65,161.57,0.2677
5068,866.00,563.00,5.0990,6.4031,6.4031,5.9684,186.51,130.03,139.97,0.2632
5069,698.00,410.00,6.0000,7.0711,7.2111,6.7607,211.27,135.00,123.69,0.2817
5070,113.00,657.00,3.6056,4.4721,5.8310,4.6362,144.88,172.87,64.65,0.3699
5071,402.00,991.00,6.0828,7.0711,10.1980,7.7840,243.25,107.59,69.23,0.2415
5072,1004.00,988.00,5.0990,6.4031,6.7082,6.0701,189.69,117.35,127.87,0.2406
5073,280.00,765.00,5.0000,5.0990,5.3852,5.1614,161.29,115.56,121.33,0.2456
5074,441.00,262.00,5.8310,6.0828,8.9443,6.9527,217.27,158.50,94.40,0.2689
5075,92.00,1020.00,6.0000,6.0828,10.0000,7.3609,230.03,99.46,143.13,0.2325
5076,879.00,208.00,5.0990,5.3852,7.0711,5.8518,182.87,146.89,176.82,0.2667
5077,445.00,96.00,5.0990,5.3852,5.6569,5.3803,168.14,100.49,146.31,0.2785
5078,649.00,756.00,3.1623,3.6056,5.0990,3.9556,123.61,142.13,60.26,0.2720
5079,131.00,148.00,4.4721,6.0828,6.4031,5.6527,176.65,107.10,114.78,0.2753
5080,417.00,72.00,3.1623,6.4031,8.0623,5.8759,183.62,122.91,11.31,0.3320
5081,895.00,920.00,6.4031,6.7082,7.0711,6.7275,210.23,114.78,120.53,0.2412
5082,58.00,880.00,5.3852,7.0711,7.8102,6.7555,211.11,113.20,72.00,0.2662
5083,938.00,406.00,5.8310,6.0828,7.2111,6.3749,199.22,130.43,115.35,0.1925
5084,589.00,70.00,6.3246,6.4031,9.2195,7.3157,228.62,110.22,30.96,0.2628
5085,761.00,717.00,5.8310,5.8310,6.0828,5.9149,184.84,118.07,111.50,0.2556
5086,718.00,432.00,5.0000,5.0990,5.3852,5.1614,161.29,154.44,105.07,0.2868
5087,281.00,205.00,4.4721,5.0000,6.0000,5.1574,161.17,116.57,116.57,0.2825
